# run-isolated.sh dyld 실측
# label: t6-embed-start   utc: 2026-09-09T14:55:54Z   exit: 0   dyld 줄 수: 1617
# argv: experiments/electron-phase-0/services/embed.sh start
dyld[87345]: <4C4C44A6-5555-3144-A1BD-F878E0600D6B> /Users/gim-yeongjae/project/daewha-electron-phase-0/experiments/electron-phase-0/bundle/python/bin/python3.12
dyld[87345]: <4C4C440E-5555-3144-A1C9-83F1C4E3DE68> /Users/gim-yeongjae/project/daewha-electron-phase-0/experiments/electron-phase-0/bundle/python/lib/libpython3.12.dylib
dyld[87345]: <A0A22339-B48B-34C7-97C9-62B842F2E8FA> /System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation
dyld[87345]: <220ABA7C-1B27-3461-AD64-F0C02DA55A5B> /usr/lib/libobjc.A.dylib
dyld[87345]: <23D4E125-20AE-3A91-9041-3597F72B04E0> /System/Library/PrivateFrameworks/CoreServicesInternal.framework/Versions/A/CoreServicesInternal
dyld[87345]: <3375DB22-2C68-3D76-B7EC-612837A3E272> /System/Library/Frameworks/Foundation.framework/Versions/C/Foundation
dyld[87345]: <88E33EA4-A20E-3ED1-AD7D-8D029E4E08BC> /usr/lib/liboah.dylib
dyld[87345]: <76412133-41DC-3EE8-9AC1-12441AB8EE4E> /usr/lib/libfakelink.dylib
dyld[87345]: <3DCF23DB-F538-3CEC-8B9C-4A19DDC5C264> /usr/lib/libicucore.A.dylib
dyld[87345]: <4FDC9AA6-B344-37FE-B8C6-A4C94A038F57> /usr/lib/libSystem.B.dylib
dyld[87345]: <467A5BB5-639E-31D1-8582-D5B0AB28D1F5> /System/Library/PrivateFrameworks/SoftLinking.framework/Versions/A/SoftLinking
dyld[87345]: <41179EDE-DC97-3BBE-8848-6400D12C1436> /usr/lib/objc/libobjcMsgSend.dylib
dyld[87345]: <6FBE4525-E708-3750-AE43-FC9D7327E8F5> /usr/lib/libc++abi.dylib
dyld[87345]: <88E33EA4-A20E-3ED1-AD7D-8D029E4E08BC> /usr/lib/libRosetta.dylib
dyld[87345]: <D69543EE-E165-3242-9281-5DAB86D55340> /usr/lib/libc++.1.dylib
dyld[87345]: <83E81326-A587-374F-ABC1-BAE48D0FEE0D> /usr/lib/system/libcache.dylib
dyld[87345]: <215316D1-CCCC-3F21-B1A7-7AAA28C067BC> /usr/lib/system/libcommonCrypto.dylib
dyld[87345]: <58DF4E26-8BF1-3A31-94D7-B837B76359A1> /usr/lib/system/libcompiler_rt.dylib
dyld[87345]: <52634F6F-1CEF-3F45-8F03-2807039C051C> /usr/lib/system/libcopyfile.dylib
dyld[87345]: <4747DEC8-74F6-3C3C-9CFA-958D749E55D4> /usr/lib/system/libcorecrypto.dylib
dyld[87345]: <35B1D5C9-46F5-3E6C-88EB-9FEF218B3F6A> /usr/lib/system/libdispatch.dylib
dyld[87345]: <2DE7C10A-5A74-3F3F-93B6-5ABA1D64F9B7> /usr/lib/system/libdyld.dylib
dyld[87345]: <5EC997EF-3ADA-360B-9FCD-5F940C83FA4E> /usr/lib/system/libkeymgr.dylib
dyld[87345]: <10767E82-A76D-335D-A289-B977D5507577> /usr/lib/system/libmacho.dylib
dyld[87345]: <7FD4AE22-86EF-382B-83F5-ADF9336C1160> /usr/lib/system/libquarantine.dylib
dyld[87345]: <E6E6DFCF-6B2C-3F30-A59D-816CAB1190CE> /usr/lib/system/libremovefile.dylib
dyld[87345]: <0B8B1F14-A7FB-302F-B56B-AD113BB71055> /usr/lib/system/libsystem_asl.dylib
dyld[87345]: <426419BE-A433-3D7A-AE2A-39F3519571B4> /usr/lib/system/libsystem_blocks.dylib
dyld[87345]: <B9578568-B137-3A96-A8C8-096F0B6F95CD> /usr/lib/system/libsystem_c.dylib
dyld[87345]: <31B75E6B-F7E4-352D-A1A3-716D667F8C7F> /usr/lib/system/libsystem_collections.dylib
